CustomerID,Recency,Frequency,Monetary,Cluster,Segment_Name
12347.0,2,7,4310.0,0,Loyal Customers
12348.0,75,4,1797.24,3,At Risk
12349.0,19,1,1757.55,3,At Risk
12350.0,310,1,334.4,1,Lost Customers
12352.0,36,8,2506.04,0,Loyal Customers
12353.0,204,1,89.0,1,Lost Customers
12354.0,232,1,1079.4,1,Lost Customers
12355.0,214,1,459.4,1,Lost Customers
12356.0,23,3,2811.43,0,Loyal Customers
12357.0,33,1,6207.67,0,Loyal Customers
12358.0,2,2,1168.06,3,At Risk
12359.0,58,4,6372.58,0,Loyal Customers
12360.0,52,3,2662.06,0,Loyal Customers
12361.0,287,1,189.9,1,Lost Customers
12362.0,3,10,5226.23,2,Champions
12363.0,110,2,552.0,3,At Risk
12364.0,8,4,1313.1,3,At Risk
12365.0,291,2,641.38,1,Lost Customers
12367.0,4,1,168.9,3,At Risk
12370.0,51,4,3545.69,0,Loyal Customers
12371.0,45,2,1887.96,3,At Risk
12372.0,72,3,1298.04,3,At Risk
12373.0,311,1,364.6,1,Lost Customers
12374.0,25,1,742.9300000000001,3,At Risk
12375.0,11,2,457.5,3,At Risk
12377.0,315,2,1628.12,1,Lost Customers
12378.0,130,1,4008.62,0,Loyal Customers
12379.0,82,2,852.24,3,At Risk
12380.0,22,4,2724.81,0,Loyal Customers
12381.0,5,5,1845.31,0,Loyal Customers
12383.0,185,5,1850.56,1,Lost Customers
12384.0,29,2,585.27,3,At Risk
12386.0,338,2,401.9,1,Lost Customers
12388.0,16,6,2780.66,0,Loyal Customers
12390.0,80,1,549.84,3,At Risk
12391.0,22,1,460.89,3,At Risk
12393.0,72,4,1582.6000000000001,3,At Risk
12394.0,64,2,1272.48,3,At Risk
12395.0,19,12,3018.63,0,Loyal Customers
12397.0,36,2,2409.9,3,At Risk
12398.0,46,1,1635.6599999999999,3,At Risk
12399.0,119,4,1108.65,3,At Risk
12401.0,303,1,84.3,1,Lost Customers
12402.0,323,1,225.6,1,Lost Customers
12403.0,50,1,427.7,3,At Risk
12405.0,149,1,1710.39,3,At Risk
12406.0,22,2,3415.3,0,Loyal Customers
12407.0,50,5,1708.1200000000001,0,Loyal Customers
12408.0,33,5,2888.55,0,Loyal Customers
12409.0,79,3,11072.67,2,Champions
12410.0,309,2,693.3299999999999,1,Lost Customers
12412.0,75,3,1226.88,3,At Risk
12413.0,67,3,758.1,3,At Risk
12414.0,217,3,562.41,1,Lost Customers
12417.0,3,9,3649.1,0,Loyal Customers
12418.0,113,1,668.58,3,At Risk
